iR33,dir,file,fileDate,targ,zaTarg,proj,year,author1,Source,Reaction,dataType,x4,Emin,Emax,Egamma,Units,Theta,nData
72,al7l,al7ll0b,2006-06-23T00:00:00,27Al,13027,7Li,1993,J.R?is?nen,"J. R?is?nen and E. Rauhala. Nucl. Instr. Meth. B73 (1993) 439","27Al(7Li,7Li0)27Al","EBS","A0599002",3460.0,7960.0,"",mb,170,27
73,al7p,al7pa0a,2008-03-24T00:00:00,27Al,13027,p,1967,S.S.Vasilyev,"S.S.Vasilyev et al. Izvestiya Academii Nauk v.31 (1967) 295","27Al(p,a0)24Mg","NRA","F0912002",6241.0996,6540.7,"",ru,135,21
74,al7p,al7pa0b,2008-12-17T00:00:00,27Al,13027,p,1966,S.S.Vasilyev,"S.S.Vasilyev et al. Izvestiya Academii Nauk v.30 (1966) 1399","27Al(p,a0)24Mg","NRA","",6235.7,6538.3,"",ru,90,26
75,al7p,al7pa0c,2009-01-15T00:00:00,27Al,13027,p,1968,S.S.Vasilyev,"S.S.Vasilyev et al. Izvestiya Akademii Nauk v.32 (1968) 583","27Al(p,a0)24Mg","NRA","F1001002",6200.0,6742.9,"",ru,70,55
76,al7p,al7pa0d,2009-01-15T00:00:00,27Al,13027,p,1968,S.S.Vasilyev,"S.S.Vasilyev et al. Izvestiya Akademii Nauk v.32 (1968) 583","27Al(p,a0)24Mg","NRA","F1001002",6198.3,6735.5,"",ru,90,54
77,al7p,al7pa0e,2009-04-08T00:00:00,27Al,13027,p,1963,M.A.Abuzeid,"M.A.Abuzeid et al. Nuclear Physics v.45 (1963) 123","27Al(p,a0)24Mg","NRA","F1033002",1185.2,2511.6,"",mb,150,220
78,al7p,al7pa0f,2009-04-08T00:00:00,27Al,13027,p,1963,K.L.Warsh,"K.L.Warsh et al. Nuclear Physics v.44 (1963) 329","27Al(p,a0)24Mg","NRA","F1039002",3473.8,12158.0,"",mb,90,231
79,al7p,al7pa0g,2009-10-07T00:00:00,27Al,13027,p,1965,G.P.Lawrence,"G.P. Lawrence et al. Nuclear Physics  v.65 (1965) 275","27Al(p,a0)24Mg","NRA","F1070002",6005.7,9992.2,"",mb,135,160
80,al7p,al7pa0h,2009-10-07T00:00:00,27Al,13027,p,1965,G.P.Lawrence,"G.P. Lawrence et al. Nuclear Physics  v.65 (1965) 275","27Al(p,a0)24Mg","NRA","F1070002",6007.3,10008.0,"",mb,90,161
81,al7p,al7pa0i,2009-10-07T00:00:00,27Al,13027,p,1965,G.P.Lawrence,"G.P. Lawrence et al. Nuclear Physics  v.65 (1965) 275","27Al(p,a0)24Mg","NRA","F1070004",3593.5,6195.9,"",ru,90,148
82,al7p,al7pa1a,2008-03-24T00:00:00,27Al,13027,p,1967,S.S.Vasilyev,"S.S.Vasilyev et al. Izvestiya Academii Nauk v.31 (1967) 295","27Al(p,a1)24Mg","NRA","",6242.0996,6541.0,"",ru,135,21
83,al7p,al7pa1b,2008-12-17T00:00:00,27Al,13027,p,1966,S.S.Vasilyev,"S.S.Vasilyev et al. Izvestiya Academii Nauk v.30 (1966) 1399","27Al(p,a1)24Mg","NRA","",6232.6997,6539.5,"",ru,90,25
84,al7p,al7pa1c,2009-01-15T00:00:00,27Al,13027,p,1968,S.S.Vasilyev,"S.S.Vasilyev et al. Izvestiya Akademii Nauk v.32 (1968) 583","27Al(p,a1)24Mg","NRA","F1001002",6204.1,6739.0,"",ru,70,54
85,al7p,al7pa1d,2009-01-15T00:00:00,27Al,13027,p,1968,S.S.Vasilyev,"S.S.Vasilyev et al. Izvestiya Akademii Nauk v.32 (1968) 583","27Al(p,a1)24Mg","NRA","F1001002",6205.6997,6738.5996,"",ru,90,55
86,al7p,al7pa1e,2009-04-09T00:00:00,27Al,13027,p,1963,K.L.Warsh,"K.L.Warsh et al. Nuclear Physics v.44 (1963) 329","27Al(p,a1)24Mg","NRA","F1039002",3473.5999,12152.0,"",mb,90,236
87,al7p,al7pa1f,2009-10-07T00:00:00,27Al,13027,p,1965,G.P.Lawrence,"G.P. Lawrence et al. Nuclear Physics  v.65 (1965) 275","27Al(p,a1)24Mg","NRA","F1070002",6018.9,10011.0,"",mb,135,161
88,al7p,al7pa1g,2009-10-07T00:00:00,27Al,13027,p,1965,G.P.Lawrence,"G.P. Lawrence et al. Nuclear Physics  v.65 (1965) 275","27Al(p,a1)24Mg","NRA","F1070004",3593.5,6204.5,"",ru,135,156
89,al7p,al7pa1h,2009-10-07T00:00:00,27Al,13027,p,1965,G.P.Lawrence,"G.P. Lawrence et al. Nuclear Physics  v.65 (1965) 275","27Al(p,a1)24Mg","NRA","F1070002",6025.6,10004.0,"",mb,90,161
90,al7p,al7pa2a,2009-10-07T00:00:00,27Al,13027,p,1965,G.P.Lawrence,"G.P. Lawrence et al. Nuclear Physics  v.65 (1965) 275","27Al(p,a2)24Mg","NRA","F1070002",7501.6997,10004.0,"",mb,90,102
91,al7p,al7pa2b,2009-10-07T00:00:00,27Al,13027,p,1965,G.P.Lawrence,"G.P. Lawrence et al. Nuclear Physics  v.65 (1965) 275","27Al(p,a2)24Mg","NRA","F1070002",7520.0,10018.0,"",mb,135,100
92,al7p,al7pa3a,2009-10-07T00:00:00,27Al,13027,p,1965,G.P.Lawrence,"G.P. Lawrence et al. Nuclear Physics  v.65 (1965) 275","27Al(p,a3)24Mg","NRA","F1070002",7502.5,10022.0,"",mb,90,100
93,al7p,al7pa3b,2009-10-07T00:00:00,27Al,13027,p,1965,G.P.Lawrence,"G.P. Lawrence et al. Nuclear Physics  v.65 (1965) 275","27Al(p,a3)24Mg","NRA","F1070002",7494.2,10004.0,"",mb,135,99
94,al7p,al7pa4a,2009-10-07T00:00:00,27Al,13027,p,1965,G.P.Lawrence,"G.P. Lawrence et al. Nuclear Physics  v.65 (1965) 275","27Al(p,a4)24Mg","NRA","F1070002",8263.0,10000.0,"",mb,90,70
95,al7p,al7pa4b,2009-10-07T00:00:00,27Al,13027,p,1965,G.P.Lawrence,"G.P. Lawrence et al. Nuclear Physics  v.65 (1965) 275","27Al(p,a4)24Mg","NRA","F1070002",8281.2,10008.0,"",mb,135,70
96,al7p,al7pa5a,2009-10-07T00:00:00,27Al,13027,p,1965,G.P.Lawrence,"G.P. Lawrence et al. Nuclear Physics  v.65 (1965) 275","27Al(p,a5)24Mg","NRA","F1070002",9176.2,9998.8,"",mb,90,34
97,al7p,al7pa5b,2009-10-07T00:00:00,27Al,13027,p,1965,G.P.Lawrence,"G.P. Lawrence et al. Nuclear Physics  v.65 (1965) 275","27Al(p,a5)24Mg","NRA","F1070002",9176.4,10011.0,"",mb,135,34
98,al7p,al7paga,2011-05-31T00:00:00,27Al,13027,p,1988,C.Boni,"C.Boni et al. Nucl. Instr. & Meth. B35 (1988) 80","27Al(p,ag1-0)24Mg","PIGE,NRA","F0065013",2202.0,3795.0,"1368",mb,90,82
99,al7p,al7pagb,2011-05-31T00:00:00,27Al,13027,p,1972,G.Deconninck,"G.Deconninck, G.Demortier, J. Radioanal. Chem. 12 (1972) 189","27Al(p,ag1-0)24Mg","PIGE,NRA","D0139004",1660.0,2500.0,"1368",yield,90,52
100,al7p,al7pga,2011-05-31T00:00:00,27Al,13027,p,1972,G.Deconninck,"G.Deconninck, G.Demortier, J. Radioanal. Chem. 12 (1972) 189","27Al(p,g)28Si","PIGE,NRA","D0139002",500.0,2500.0,"1778",yield,90,357
101,al7p,al7pgb,2011-05-31T00:00:00,27Al,13027,p,2008,A.Gurbich,"A.Gurbich and S.Molodtsov, NIMB 266 (2008) 3535","27Al(p,g)28Si","PIGE,NRA","",980.0,1900.0,"9000-11000",yield,90,58
102,al7p,al7pgc,2014-03-12T16:29:53,27Al,13027,p,2000,S.Harrisopulos,"S. Harrisopulos et al., Eur. Phys. J. A 9 (2000) 479","27Al(p,g)28Si","PIGE,NRA","",202.05,1123.0,"",yield,360,461
103,al7p,al7pp0$1,2011-08-02T19:02:00,27Al,13027,p,1966,R.V.Elliott,"R.V.Elliott+(1966), Jour. Nuclear Physics, Vol.84, p.209","27Al(p,p0)27Al","EBS","D0391002",3513.0,11320.0,"",mb,140,973
104,al7p,al7pp0$2,2011-08-03T11:21:00,27Al,13027,p,1984,R.O.Nelson,"R.O.Nelson+(1984), Jour. Physical Review, Part C, Nuclear Physics, Vol.29, p.1656","27Al(p,p0)27Al","EBS","C0686002",924.8,3049.8,"",mb,160,5232
105,al7p,al7pp0$3,2011-08-03T11:24:00,27Al,13027,p,1984,R.O.Nelson,"R.O.Nelson+(1984), Jour. Physical Review, Part C, Nuclear Physics, Vol.29, p.1656","27Al(p,p0)27Al","EBS","C0686002",924.8,3049.8,"",mb,135,5232
106,al7p,al7pp0$4,2011-08-03T11:27:00,27Al,13027,p,1984,R.O.Nelson,"R.O.Nelson+(1984), Jour. Physical Review, Part C, Nuclear Physics, Vol.29, p.1656","27Al(p,p0)27Al","EBS","C0686002",924.8,3049.8,"",mb,105,5231
